"variable","role","label","labelLong","section","subject","variableType","units","databaseStart","variableStart","description"
"mpg","table_1","miles per gallon","miles per gallon","Performance","Automobile Performance","continuous","mpg","mtcars","[mpg]",""
"cyl","table_1","# of cylinders","number of cylinders","Design","Engine and Body","categorical","","mtcars","[cyl]",""
"disp","table_1","displacement","displacement","Design","Engine and Body","continuous","cu in","mtcars","[disp]",""
"hp","table_1","gross hp","gross horsepower","Performance","Automobile Performance","categorical","hp","mtcars","[hp]",""
"drat","table_1","rear axle ratio","rear axle ratio","Design","Engine and Body","continuous","ratio","mtcars","[drat]",""
"wt","table_1","weight","weight","Design","Automobile Performance","continuous","1000 lbs","mtcars","[wt]",""
"qsec","table_1","1/4 mile time","1/4 mile time","Performance","Automobile Performance","continuous","sec","mtcars","[qsec]",""
"vs","table_1","engine shape","engine shape","Transmission","Drive System","categorical","","mtcars","[vs]",""
"am","table_1","transmission","transmission","Transmission","Drive System","categorical","","mtcars","[am]",""
"gear","table_1","# of gears","number of forward gears","Transmission","Drive System","categorical","","mtcars","[gear]",""
"carb","table_1","# of carburetors","number of carburetors","Transmission","Drive System","categorical","","mtcars","[carb]",""
